ruling_id,case_id,docket_entry_no,ruling_stage,motion_type,moving_party,outcome,issue_scope,expert_id,findings_flags_json,decision_date,judge_citation_style_name,key_holdings_text
R-2020-0312-PI,C-2020-0312,42,PI,preliminary_injunction,us,denied,injunctive_relief,, "{\"spoliation_sanction\": false, \"adverse_inference\": false, \"trade_secret_defined_narrowly\": true}","2020-05-22","AMES, J.","Plaintiff has not identified its alleged trade secrets with sufficient particularity to warrant the extraordinary remedy of a preliminary injunction."
R-2020-0312-MSJ1,C-2020-0312,188,MSJ,summary_judgment,them,granted_in_part,liability,, "{\"spoliation_sanction\": true, \"adverse_inference\": true, \"trade_secret_defined_narrowly\": true}","2022-11-03","AMES, J.","The Court imposes an adverse inference based on plaintiff's failure to preserve key source-code repositories and grants summary judgment on misappropriation as to versions predating 2018."
R-2020-0312-DAUBERT-PX1,C-2020-0312,201,Daubert,daubert,them,granted_in_part,damages,EXP-C2020-PL-DAM-1,"{\"spoliation_sanction\": false, \"adverse_inference\": false, \"trade_secret_defined_narrowly\": false}","2023-01-10","AMES, J.","The Court excludes plaintiff's damages expert's unjust-enrichment model for failure to account for non-infringing alternatives, but permits a limited lost-profits opinion."
R-2019-1187-PI,C-2019-1187,28,PI,preliminary_injunction,us,granted_in_part,injunctive_relief,, "{\"spoliation_sanction\": false, \"adverse_inference\": false, \"trade_secret_defined_narrowly\": true}","2019-08-09","KERR, J.","Plaintiff shows a likelihood of success only as to a subset of manufacturing documents that are properly identified with reasonable particularity."
R-2019-1187-MSJ,C-2019-1187,140,MSJ,summary_judgment,them,granted,liability,, "{\"spoliation_sanction\": true, \"adverse_inference\": true, \"trade_secret_defined_narrowly\": true}","2021-02-17","KERR, J.","Given plaintiff's shifting definitions of its alleged trade secrets and the destruction of process-control logs, no reasonable jury could find misappropriation on this record."
R-2019-1187-DAUBERT-PX1,C-2019-1187,133,Daubert,daubert,them,granted,damages,EXP-C2019-PL-DAM-1,"{\"spoliation_sanction\": false, \"adverse_inference\": false, \"trade_secret_defined_narrowly\": false}","2021-01-05","KERR, J.","Plaintiff's damages expert applies a black-box multiplier untethered to the evidence; the report is excluded in full."
R-2021-0904-MSJ,C-2021-0904,96,MSJ,summary_judgment,them,denied,liability,, "{\"spoliation_sanction\": false, \"adverse_inference\": false, \"trade_secret_defined_narrowly\": false}","2023-06-30","RIVERA, J.","Defendant's arguments reprise the 'reasonable particularity' line of cases, but here plaintiff has tied specific deployment playbooks to concrete confidentiality measures."
R-2021-0904-DAUBERT-DX1,C-2021-0904,111,Daubert,daubert,us,denied,damages,EXP-C2021-DF-DAM-1,"{\"spoliation_sanction\": false, \"adverse_inference\": false, \"trade_secret_defined_narrowly\": false}","2023-09-12","RIVERA, J.","The Court finds defendant's damages expert applied a sufficiently reliable differential-revenue method and denies the motion to exclude."
R-2018-0220-PI,C-2018-0220,35,PI,preliminary_injunction,us,denied,injunctive_relief,, "{\"spoliation_sanction\": false, \"adverse_inference\": false, \"trade_secret_defined_narrowly\": false}","2018-03-29","AMES, J.","Plaintiff's real-time bidding algorithms overlap substantially with industry practices, and the record does not show a likelihood of irreparable harm absent an injunction."
R-2019-2044-MSJ,C-2019-2044,89,MSJ,summary_judgment,them,denied,liability,, "{\"spoliation_sanction\": false, \"adverse_inference\": false, \"trade_secret_defined_narrowly\": false}","2021-06-12","MONROE, J.","Defendant's argument that routing heuristics are \"just math\" ignores email and version-control evidence tying specific parameter choices to confidential customer performance data."
R-2020-1450-PI,C-2020-1450,27,PI,preliminary_injunction,them,denied,injunctive_relief,, "{\"spoliation_sanction\": false, \"adverse_inference\": false, \"trade_secret_defined_narrowly\": false}","2020-09-01","PARK, J.","Plaintiff's showing of imminent harm is speculative; monetary damages appear adequate at this stage."
